nopen,kantor,kab_kota,alokasi_kpm,alokasi_jml_uang,nama_sufix,alokasi,alokasi_biaya,realisasi,realisasi_biaya,gagal_bayar_tolak,sisa_aktif,sisa_biaya
100001,Kantor Pusat Jakarta,Jakarta Selatan,150,300000000,Sufix A,50000,25000000,45000,22500000,2000,3000,2500000
100001,Kantor Pusat Jakarta,Jakarta Selatan,150,300000000,Sufix A,60000,30000000,55000,27500000,3000,2000,2500000
100001,Kantor Pusat Jakarta,Jakarta Selatan,150,300000000,Sufix B,40000,20000000,35000,17500000,1500,3500,2000000
100002,Kantor Cabang Bandung,Bandung,120,250000000,Sufix A,35000,17500000,32000,16000000,1000,2000,1500000
100002,Kantor Cabang Bandung,Bandung,120,250000000,Sufix A,45000,22500000,40000,20000000,2000,3000,2500000
100002,Kantor Cabang Bandung,Bandung,120,250000000,Sufix B,25000,12500000,22000,11000000,1000,2000,1500000
100003,Kantor Cabang Surabaya,Surabaya,180,400000000,Sufix A,70000,35000000,65000,32500000,3000,2000,2500000
100003,Kantor Cabang Surabaya,Surabaya,180,400000000,Sufix A,80000,40000000,75000,37500000,2000,3000,2500000
100003,Kantor Cabang Surabaya,Surabaya,180,400000000,Sufix B,50000,25000000,45000,22500000,2500,2500,2500000
100003,Kantor Cabang Surabaya,Surabaya,180,400000000,Sufix C,30000,15000000,28000,14000000,1000,1000,1000000
100004,Kantor Cabang Medan,Medan,90,180000000,Sufix A,25000,12500000,23000,11500000,1000,1000,1000000
100004,Kantor Cabang Medan,Medan,90,180000000,Sufix A,35000,17500000,32000,16000000,1500,1500,1500000
100004,Kantor Cabang Medan,Medan,90,180000000,Sufix B,20000,10000000,18000,9000000,1000,1000,1000000
100005,Kantor Cabang Denpasar,Denpasar,110,220000000,Sufix A,40000,20000000,38000,19000000,1000,1000,1000000
100005,Kantor Cabang Denpasar,Denpasar,110,220000000,Sufix B,30000,15000000,27000,13500000,1500,1500,1500000
100006,Kantor Cabang Makassar,Makassar,200,500000000,Sufix A,80000,40000000,75000,37500000,3000,2000,2500000
100006,Kantor Cabang Makassar,Makassar,200,500000000,Sufix A,70000,35000000,68000,34000000,1000,1000,1000000
100006,Kantor Cabang Makassar,Makassar,200,500000000,Sufix B,50000,25000000,47000,23500000,2000,1000,1500000
100006,Kantor Cabang Makassar,Makassar,200,500000000,Sufix C,45000,22500000,42000,21000000,1500,1500,1500000
100007,Kantor Cabang Yogyakarta,Yogyakarta,80,160000000,Sufix A,25000,12500000,24000,12000000,500,500,500000
100007,Kantor Cabang Yogyakarta,Yogyakarta,80,160000000,Sufix A,25000,12500000,23000,11500000,1000,1000,1000000